ID_NUMBER	L1(/10)	L2(/10)	L3(/10)	L4(/10)	L5(/10)	L6(/10)	L7(/10)	L8(/10)	L9(/10)	L10(/10)	Assignment(/10)	Other(/15)	Exam(/100)
21245684	7	7	0	10	9	5	4	0	3	10	5	6	60
21245685	10	9	2	3	7	8	5	3	8	9	6	8	65
21245686	6	3	1	7	2	8	2	0	9	6	7	10	92
21245687	3	3	7	3	10	3	2	6	3	9	5	1	40
21245688	10	6	0	1	9	6	7	4	0	2	1	0	68
21245689	0	6	9	10	8	1	9	9	8	7	2	8	85
21245690	5	3	5	10	6	5	3	10	6	7	9	7	82
21245691	8	1	0	4	7	3	1	1	1	8	0	3	70
21245692	9	5	0	7	6	1	1	6	0	9	4	11	65
21245693	9	6	5	7	8	2	3	1	10	10	0	14	26
21245694	9	0	9	4	6	2	7	2	0	4	5	6	59
21245695	2	7	6	8	5	5	0	1	2	5	6	0	51
21245696	7	0	4	1	5	1	7	0	4	6	6	4	49
21245697	5	2	10	9	5	7	1	9	4	9	3	9	80
21245698	3	10	1	0	9	2	8	3	5	8	7	5	42
21245699	10	7	0	1	5	3	1	1	5	7	8	13	76
21245700	8	10	7	9	5	8	1	8	3	8	7	15	75
21245701	9	1	4	7	10	3	1	7	9	9	0	4	44
21245702	4	7	1	6	4	5	9	1	0	9	5	6	95
21245703	8	7	5	4	6	1	1	9	4	5	7	3	60
