date	day#	NSW	VIC	QLD	SA	WA	TAS	NT	ACT
1-Jun	1	3	4	0	0	1	0	0	0
2-Jun	2	6	10	1	0	0	0	0	0
3-Jun	3	0	7	0	0	1	0	0	0
4-Jun	4	2	8	0	0	0	0	0	0
5-Jun	5	4	3	0	0	4	0	0	0
6-Jun	6	0	0	1	0	1	0	0	0
7-Jun	7	0	4	0	0	0	0	0	1
8-Jun	8	3	2	0	0	0	0	0	0
9-Jun	9	2	0	0	0	0	0	0	0
10-Jun	10	3	4	0	0	0	0	0	0
11-Jun	11	0	8	1	0	0	0	0	0
12-Jun	12	3	4	1	0	1	0	0	0
13-Jun	13	4	8	1	0	0	0	0	0
14-Jun	14	9	9	0	0	0	0	0	0
15-Jun	15	3	12	0	0	0	0	0	0
16-Jun	16	3	9	0	0	0	0	0	0
17-Jun	17	1	21	1	0	0	0	0	0
18-Jun	18	2	18	0	0	1	0	0	0
19-Jun	19	7	13	0	0	0	0	0	0
20-Jun	20	1	25	0	0	0	0	0	0
21-Jun	21	5	19	0	0	1	0	0	0
22-Jun	22	2	16	0	0	0	0	0	0
23-Jun	23	1	17	0	0	2	0	0	0
24-Jun	24	10	20	0	0	0	0	0	0
25-Jun	25	4	33	0	0	0	0	0	0
26-Jun	26	6	30	1	0	0	0	0	0
27-Jun	27	6	41	0	0	0	0	0	0
28-Jun	28	3	49	0	0	1	0	0	0
29-Jun	29	7	75	0	3	0	0	0	0
30-Jun	30	5	64	0	0	2	0	0	0
1-Jul	31	14	73	0	0	0	0	0	0
2-Jul	32	8	77	0	0	0	0	1	0
3-Jul	33	0	66	0	0	0	0	0	0
4-Jul	34	6	108	0	0	0	0	0	0
5-Jul	35	14	74	0	0	6	0	0	0
6-Jul	36	10	127	0	0	3	0	0	0
7-Jul	37	7	191	1	0	0	0	0	0
8-Jul	38	8	134	0	0	2	0	0	3
9-Jul	39	13	165	0	0	3	0	0	1
10-Jul	40	14	288	0	0	3	0	1	1
11-Jul	41	7	216	2	0	2	0	0	0
12-Jul	42	5	273	0	0	1	0	0	0
13-Jul	43	14	177	1	0	0	0	0	0
14-Jul	44	13	270	0	0	1	0	0	0
15-Jul	45	13	238	0	0	8	0	0	0
16-Jul	46	10	317	0	1	2	0	0	0
17-Jul	47	8	428	0	0	2	0	0	0
18-Jul	48	15	217	0	0	1	0	0	0
19-Jul	49	18	363	0	0	0	0	0	0
20-Jul	50	20	275	1	0	0	1	0	0
21-Jul	51	13	374	0	0	0	0	0	0
22-Jul	52	16	484	1	2	0	0	0	0
23-Jul	53	19	403	0	1	0	0	0	0
24-Jul	54	7	300	2	0	0	0	0	0
25-Jul	55	15	357	0	0	0	0	0	0
26-Jul	56	14	459	0	0	2	0	0	0
27-Jul	57	17	532	0	0	0	0	0	0
28-Jul	58	14	384	0	1	1	0	0	0
29-Jul	59	19	295	3	0	2	0	0	0
30-Jul	60	18	723	3	1	1	0	0	0
31-Jul	61	21	627	1	1	1	0	1	0
1-Aug	62	17	397	1	1	0	0	1	0
2-Aug	63	12	671	1	2	1	0	0	0
3-Aug	64	13	429	0	2	0	0	0	0
4-Aug	65	12	439	0	2	0	0	0	0
5-Aug	66	12	725	1	0	1	0	0	0
6-Aug	67	12	471	0	1	0	0	0	0
7-Aug	68	11	450	0	2	0	0	0	0
8-Aug	69	9	466	0	0	0	0	0	0
9-Aug	70	10	394	0	0	0	0	0	0
10-Aug	71	14	322	1	0	0	0	0	0
11-Aug	72	22	331	0	0	0	1	0	0
12-Aug	73	18	410	0	0	0	0	0	0
13-Aug	74	12	278	0	0	2	0	0	0
14-Aug	75	9	372	3	1	1	0	0	0
15-Aug	76	9	303	0	0	1	0	0	0
16-Aug	77	5	279	0	1	0	0	0	0
17-Aug	78	7	282	0	1	0	0	0	0
18-Aug	79	3	222	0	0	1	0	0	0
19-Aug	80	7	216	1	0	4	0	0	0
20-Aug	81	5	240	1	0	0	0	0	0
21-Aug	82	1	179	0	0	0	0	0	0
22-Aug	83	9	179	9	0	0	0	0	0
23-Aug	84	4	203	2	1	1	0	0	0
24-Aug	85	3	116	1	0	1	0	0	0
25-Aug	86	3	148	0	0	0	0	0	0
