ID,Height (cm),Weight (kg)
8253,153,80
908,168,71
2064,179,87
7931,191,65
6815,176,63
4698,206,64
8973,141,70
4083,158,85
6581,174,80
9576,206,67
3016,185,81
7241,147,83
7510,183,76
1854,185,64
5676,135,67
611,138,65
6822,170,84
6676,178,90
1340,135,71
8914,180,87
1694,153,64
5430,133,85
346,165,68
8127,143,61
5937,147,65
4048,184,80
6424,183,80
3654,173,78
9972,169,64
7040,131,81
1963,201,60
8271,156,63
9990,182,89
5213,195,67
6228,204,89
48,194,75
7726,160,73
2117,195,67
2033,133,86
7918,146,72
2689,185,62
8274,180,70
9931,199,84
3937,167,85
8957,203,61
5285,140,69
819,146,85
4166,201,76
189,156,82
8972,146,72
3731,151,67
118,173,64
4986,135,68
4411,186,68
8479,181,72
4982,183,60
1116,178,73
7869,159,61
9295,173,89
8509,155,89
1541,145,77
809,199,83
6244,166,69
964,175,62
333,185,87
3216,193,70
6408,194,80
5804,205,71
6677,186,65
7873,188,78
3776,145,62
788,201,89
4311,168,79
7798,203,68
3027,173,75
7286,142,81
995,200,84
1715,190,75
9179,192,62
7822,149,80
9964,141,69
8703,193,89
9023,201,76
9227,158,64
4007,173,88
2867,162,61
7621,137,69
9357,194,67
2770,150,86
3679,167,87
2708,153,86
4693,138,67
9518,177,71
1009,130,75
5356,149,76
3047,210,74
1502,190,85
4186,137,66
3211,135,64
5509,194,61
1826,130,84
2128,147,84
5595,152,80
8993,186,81
6927,195,61
8762,183,88
7354,168,78
4400,191,64
1174,177,83
9291,190,79
5899,179,77
3274,153,75
2898,139,85
4984,168,70
8352,170,87
9348,148,69
8385,176,81
5377,151,60
5147,134,70
5200,152,74
6176,192,68
2755,159,83
5156,143,64
3262,170,86
2717,181,84
3683,157,81
9739,210,72
7438,201,86
4403,206,65
8349,207,66
4950,131,89
5447,167,73
7330,187,78
2688,201,83
3812,140,81
7435,156,73
4868,153,79
6561,148,65
8895,174,80
3297,168,67
2915,151,75
6094,205,77
1799,208,82
2092,147,70
7948,143,90
1072,166,69
6675,150,65
1921,151,84
3663,210,61
5317,175,84
2474,198,86
7083,156,63
3163,149,65
371,188,60
7994,141,68
447,177,60
2929,185,83
2992,206,87
5280,194,84
1183,141,68
7826,191,79
4945,163,61
2243,159,82
8178,202,70
9944,167,81
9829,143,69
7458,157,66
5099,134,80
4687,137,60
2680,143,83
9468,181,82
3140,190,77
4452,193,90
5240,172,71
7698,131,86
4052,178,89
8938,157,65
1186,193,68
8570,202,65
6398,164,89
4238,210,81
1347,197,70
181,180,74
3591,193,75
170,209,71
4628,144,73
1293,165,87
8291,163,69
9395,208,82
1925,138,84
7238,195,90
546,167,76
5047,180,72
1165,193,86
6302,204,65
1595,205,74
605,210,65
5476,204,66
1416,164,73
3610,192,75
1972,163,90
2,183,80
7937,145,89
8848,144,83
4317,207,88
3584,209,60
3573,206,88
2820,154,67
9837,205,64
9555,172,89
2098,199,74
6520,152,62
4315,206,86
4040,172,60
8285,169,87
4916,151,84
2241,180,71
6966,207,80
4228,165,70
4069,200,66
9108,186,86
1439,168,62
194,161,87
4146,161,80
9256,143,65
7144,161,78
3049,149,90
1516,195,70
9666,155,73
8334,175,75
6582,153,61
2633,195,77
8817,144,73
2596,131,65
8337,160,63
4093,140,64
837,132,89
9133,164,76
8040,199,62
9102,144,85
6218,139,74
9628,140,88
6141,142,66
4187,172,73
2703,170,81
8091,175,87
9066,165,74
9310,163,62
1628,194,81
1759,161,62
9241,176,61
6163,158,90
5327,166,67
6303,162,85
9651,141,64
7924,142,84
8900,131,76
5448,167,67
3048,172,72
4325,174,65
2591,133,73
1390,195,73
7470,182,69
5930,178,89
2121,188,67
4570,162,90
7736,147,61
5705,180,86
8891,196,78
7318,176,78
7875,187,72
7074,188,75
8224,181,75
5991,174,84
5968,140,73
95,131,78
5477,176,79
8305,162,76
4394,204,72
3289,139,81
828,174,73
8698,149,67
4322,144,84
8683,205,66
5123,140,70
4401,194,70
138,157,73
2602,138,86
7757,158,84
1995,199,80
6242,159,67
6735,205,70
943,190,74
7177,182,81
9475,203,75
7351,157,70
2005,162,85
1699,186,65
8837,149,66
2616,155,86
1838,187,73
4224,172,89
8849,209,84
1844,159,85
