Stress (MPa)	Strain
0	0
1.9682	0.000029524
7.4174	0.00008365
13.122	0.00013778
18.387	0.0001919
23.284	0.00024603
27.328	0.00030015
30.583	0.00035428
33.358	0.0004084
35.048	0.00046253
37.316	0.00051665
39.54	0.00057103
41.946	0.00062554
44.39	0.00068006
46.904	0.00073458
49.488	0.0007891
52.409	0.00084361
55.034	0.00089813
57.406	0.00095265
59.388	0.0010072
60.356	0.0010617
62.181	0.0011162
64.752	0.0011707
68	0.0012252
71.222	0.0012798
74.81	0.0013343
78.436	0.0013888
82.133	0.0014995
86.138	0.0016163
90.308	0.0017331
94.594	0.0018499
98.657	0.0019667
102.69	0.0020835
106.77	0.0022003
110.82	0.0023171
114.91	0.0024339
119.13	0.002613
123.09	0.0028311
126.84	0.0030492
130.65	0.0032673
134.49	0.0034854
137.95	0.0037035
141.35	0.0044538
144.36	0.0049262
147.11	0.0053986
149.32	0.0060355
151.52	0.0068223
153.21	0.007609
154.86	0.00841
156.1	0.0094878
157.06	0.010566
158.31	0.011643
159.04	0.012721
160.07	0.013799
160.78	0.014991
161.27	0.016241
161.58	0.017492
162.49	0.018743
162.33	0.020004
162.39	0.021331
163.08	0.022659
163.39	0.023986
164.14	0.025313
164.04	0.026641
163.85	0.027968
163.67	0.029682
163.48	0.031082
163.85	0.032481
164.13	0.033881
164.07	0.035281
164.23	0.03668
163.82	0.03808
163.82	0.039481
163.68	0.040959
163.28	0.042438
162.74	0.043916
161.97	0.045394
161.32	0.046925
160.42	0.048492
159.89	0.05006
158.97	0.051627
157.5	0.053194
156.77	0.054762
155.38	0.056414
154.12	0.058078
152.99	0.059741
151.31	0.061405
149.96	0.063068
148.38	0.065073
146.09	0.066853
144.55	0.068633
142.15	0.070414
140.05	0.072194
137.19	0.074171
134.39	0.076167
131.02	0.078162
127.38	0.08016
122.55	0.082509
116.88	0.085328
